13.46.58:173	50c46d6a-67bb-11e7-93ce-902b3433e7d4: Сформирована строка задания. Файл d:\work\CwHub\CDPconsole\In\file.txt
13.47.00:110	50c46d6a-67bb-11e7-93ce-902b3433e7d4: Обработка CDP прошла успешно. Файл D:\Work\CwHub\CDPconsole\Out\classic.txt
13.47.00:129	50c46d6a-67bb-11e7-93ce-902b3433e7d4: Запрос на печать пин-конверта сформирован
13.47.00:371	Карта типа VISA
13.47.00:621	50c46d6a-67bb-11e7-93ce-902b3433e7d5: Сформирована строка задания. Файл d:\work\CwHub\CDPconsole\In\file.txt
13.47.00:652	Печать пина для карты 127.0.0.1:1604
13.47.01:682	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.47.02:152	50c46d6a-67bb-11e7-93ce-902b3433e7d6: Карта типа VISA выпуск
13.47.02:218	50c46d6a-67bb-11e7-93ce-902b3433e7d4: Карта типа VISA выпуск
13.47.02:380	50c46d6a-67bb-11e7-93ce-902b3433e7d5: Обработка CDP прошла успешно. Файл D:\Work\CwHub\CDPconsole\Out\classic.txt
13.47.02:398	50c46d6a-67bb-11e7-93ce-902b3433e7d5: Запрос на печать пин-конверта сформирован
13.47.02:451	Карта типа VISA
13.47.02:613	50c46d6a-67bb-11e7-93ce-902b3433e7d3: Сформирована строка задания. Файл d:\work\CwHub\CDPconsole\In\file.txt
13.47.04:680	50c46d6a-67bb-11e7-93ce-902b3433e7d3: Обработка CDP прошла успешно. Файл D:\Work\CwHub\CDPconsole\Out\classic.txt
13.47.04:705	50c46d6a-67bb-11e7-93ce-902b3433e7d3: Запрос на печать пин-конверта сформирован
13.47.04:761	Карта типа VISA
13.47.04:922	50c46d6a-67bb-11e7-93ce-902b3433e7d2: Сформирована строка задания. Файл d:\work\CwHub\CDPconsole\In\file.txt
13.47.05:722	Печать пина для карты 127.0.0.1:1604
13.47.06:669	50c46d6a-67bb-11e7-93ce-902b3433e7d2: Обработка CDP прошла успешно. Файл D:\Work\CwHub\CDPconsole\Out\classic.txt
13.47.06:689	50c46d6a-67bb-11e7-93ce-902b3433e7d2: Запрос на печать пин-конверта сформирован
13.47.06:749	Карта типа VISA
13.47.06:751	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.47.06:939	50c46d6a-67bb-11e7-93ce-902b3433e7d1: Сформирована строка задания. Файл d:\work\CwHub\CDPconsole\In\file.txt
13.47.07:324	50c46d6a-67bb-11e7-93ce-902b3433e7d5: Карта типа VISA выпуск
13.47.07:423	50c46d6a-67bb-11e7-93ce-902b3433e7d3: Карта типа VISA выпуск
13.47.07:500	50c46d6a-67bb-11e7-93ce-902b3433e7d2: Карта типа VISA выпуск
13.47.08:838	50c46d6a-67bb-11e7-93ce-902b3433e7d1: Обработка CDP прошла успешно. Файл D:\Work\CwHub\CDPconsole\Out\classic.txt
13.47.08:858	50c46d6a-67bb-11e7-93ce-902b3433e7d1: Запрос на печать пин-конверта сформирован
13.47.08:925	Карта типа VISA
13.47.09:093	50c46d6a-67bb-11e7-93ce-902b3433e78a: Сформирована строка задания. Файл d:\work\CwHub\CDPconsole\In\file.txt
13.47.10:780	50c46d6a-67bb-11e7-93ce-902b3433e78a: Обработка CDP прошла успешно. Файл D:\Work\CwHub\CDPconsole\Out\classic.txt
13.47.10:818	Печать пина для карты 127.0.0.1:1604
13.47.10:822	50c46d6a-67bb-11e7-93ce-902b3433e78a: Запрос на печать пин-конверта сформирован
13.47.11:851	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.47.12:628	50c46d6a-67bb-11e7-93ce-902b3433e7d1: Карта типа VISA выпуск
13.47.12:743	50c46d6a-67bb-11e7-93ce-902b3433e78a: Карта типа VISA выпуск
13.47.15:905	Печать пина для карты 127.0.0.1:1604
13.47.16:942	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.47.20:964	Печать пина для карты 127.0.0.1:1604
13.47.22:002	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
13.47.26:035	Печать пина для карты 127.0.0.1:1604
13.47.27:073	Ошибка: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 127.0.0.1:1604
